staff_id,staff_name,section_id,seniority_year
stf_0001,陳承翰,sec_vid,8
stf_0002,楊美玲,sec_life,15
stf_0003,郭詩涵,sec_deep,1
stf_0004,鄭怡君,sec_ent,18
stf_0005,洪映彤,sec_brand,11
stf_0006,林郁婷,sec_opin,17
stf_0007,黃冠宇,sec_life,6
stf_0008,鄭怡君,sec_soc,14
stf_0009,劉建宏,sec_brand,17
stf_0010,李佩君,sec_intl,9
stf_0011,吳映彤,sec_soc,3
stf_0012,邱建宏,sec_soc,9
stf_0013,張志豪,sec_fin,5
stf_0014,邱美玲,sec_intl,4
stf_0015,王俊傑,sec_ent,4
stf_0016,曾志豪,sec_brand,12
stf_0017,許美玲,sec_brand,7
stf_0018,邱柏瑋,sec_edu,5
stf_0019,陳雅婷,sec_vid,1
stf_0020,陳秉修,sec_opin,3
stf_0021,吳雅婷,sec_soc,7
stf_0022,王佩君,sec_vid,10
stf_0023,賴淑芬,sec_edu,14
stf_0024,蔡映彤,sec_sport,2
stf_0025,楊心怡,sec_short,2
stf_0026,張心怡,sec_pol,11
stf_0027,曾怡君,sec_short,2
stf_0028,張佩君,sec_pol,8
stf_0029,陳郁婷,sec_shop,16
stf_0030,鄭曉雯,sec_sport,6
stf_0031,吳淑芬,sec_edu,7
stf_0032,賴家豪,sec_intl,7
stf_0033,吳雅婷,sec_fin,13
stf_0034,鄭雅婷,sec_ent,9
stf_0035,洪怡君,sec_shop,11
stf_0036,曾柏瑋,sec_vid,5
stf_0037,郭映彤,sec_opin,16
stf_0038,黃曉雯,sec_fin,16
stf_0039,周雅婷,sec_env,5
stf_0040,劉淑芬,sec_opin,8
stf_0041,邱曉雯,sec_fin,13
stf_0042,許柏瑋,sec_soc,13
stf_0043,廖宗翰,sec_fin,10
stf_0044,劉雅婷,sec_soc,2
stf_0045,廖俊傑,sec_shop,12
stf_0046,曾宗翰,sec_intl,2
stf_0047,廖映彤,sec_life,18
stf_0048,張承翰,sec_sport,12
stf_0049,廖詩涵,sec_fin,7
stf_0050,曾秉修,sec_intl,16
stf_0051,許淑芬,sec_life,16
stf_0052,周淑芬,sec_opin,13
stf_0053,賴柏瑋,sec_edu,11
stf_0054,劉詩涵,sec_env,11
stf_0055,曾建宏,sec_pod,6
stf_0056,郭心怡,sec_opin,11
stf_0057,洪怡君,sec_env,9
stf_0058,許佩君,sec_ent,14
stf_0059,蔡淑芬,sec_ent,17
stf_0060,鄭郁婷,sec_vid,2
stf_0061,謝淑芬,sec_soc,7
stf_0062,王淑芬,sec_pod,11
stf_0063,曾佩君,sec_pol,10
stf_0064,王郁婷,sec_pol,13
stf_0065,謝宗翰,sec_pol,2
stf_0066,劉志豪,sec_fin,2
stf_0067,鄭秉修,sec_ent,6
stf_0068,陳冠宇,sec_vid,1
stf_0069,鄭佩君,sec_pol,4
stf_0070,吳美玲,sec_ent,15
stf_0071,黃美玲,sec_sport,9
stf_0072,鄭建宏,sec_edu,7
stf_0073,吳佩君,sec_brand,2
stf_0074,廖佩君,sec_brand,15
stf_0075,李承翰,sec_tech,16
stf_0076,謝承翰,sec_pod,7
stf_0077,周佩君,sec_short,3
stf_0078,邱冠宇,sec_edu,18
stf_0079,賴雅婷,sec_pol,17
stf_0080,賴雅婷,sec_pol,15
stf_0081,廖佩君,sec_pol,14
stf_0082,許宗翰,sec_event,4
stf_0083,劉彥廷,sec_vid,13
stf_0084,邱宗翰,sec_edu,9
stf_0085,林俊傑,sec_fin,13
stf_0086,黃郁婷,sec_deep,10
stf_0087,郭映彤,sec_life,11
stf_0088,楊心怡,sec_vid,13
stf_0089,鄭柏瑋,sec_deep,1
stf_0090,賴家豪,sec_event,15
stf_0091,張映彤,sec_soc,11
stf_0092,邱冠宇,sec_tech,3
stf_0093,許俊傑,sec_life,13
stf_0094,謝美玲,sec_pod,1
stf_0095,賴淑芬,sec_fin,15
stf_0096,劉詩涵,sec_env,16
stf_0097,劉曉雯,sec_ent,6
stf_0098,李美玲,sec_edu,5
stf_0099,邱美玲,sec_soc,17
stf_0100,邱志豪,sec_intl,9
stf_0101,吳彥廷,sec_deep,14
stf_0102,周佩君,sec_life,17
stf_0103,林志豪,sec_shop,14
stf_0104,張冠宇,sec_edu,18
stf_0105,邱淑芬,sec_pod,2
stf_0106,鄭俊傑,sec_vid,4
stf_0107,賴宗翰,sec_sport,10
stf_0108,陳柏瑋,sec_shop,5
stf_0109,周美玲,sec_pol,6
stf_0110,李柏瑋,sec_edu,4
stf_0111,許冠宇,sec_soc,5
stf_0112,許怡君,sec_intl,13
stf_0113,許郁婷,sec_deep,11
stf_0114,楊俊傑,sec_pol,16
stf_0115,蔡秉修,sec_short,13
stf_0116,謝雅婷,sec_brand,14
stf_0117,謝心怡,sec_intl,11
stf_0118,陳淑芬,sec_ent,8
stf_0119,劉雅婷,sec_shop,11
stf_0120,陳冠宇,sec_edu,7
stf_0121,楊郁婷,sec_shop,16
stf_0122,林建宏,sec_fin,6
stf_0123,廖心怡,sec_vid,18
stf_0124,劉雅婷,sec_opin,7
stf_0125,張美玲,sec_deep,8
stf_0126,蔡佩君,sec_fin,7
stf_0127,吳承翰,sec_brand,13
stf_0128,林志豪,sec_pol,4
stf_0129,曾柏瑋,sec_pod,15
stf_0130,林家豪,sec_deep,13
stf_0131,周冠宇,sec_pol,18
stf_0132,黃心怡,sec_tech,16
stf_0133,林淑芬,sec_brand,2
stf_0134,吳怡君,sec_ent,15
stf_0135,劉建宏,sec_ent,16
stf_0136,黃秉修,sec_event,18
stf_0137,劉詩涵,sec_fin,6
stf_0138,周心怡,sec_soc,14
stf_0139,李雅婷,sec_soc,13
stf_0140,曾美玲,sec_env,10
stf_0141,曾建宏,sec_sport,3
stf_0142,林建宏,sec_shop,4
stf_0143,邱佩君,sec_ent,14
stf_0144,林建宏,sec_shop,12
stf_0145,鄭冠宇,sec_tech,7
stf_0146,李冠宇,sec_tech,8
stf_0147,林志豪,sec_fin,1
stf_0148,蔡佩君,sec_shop,17
stf_0149,蔡曉雯,sec_brand,6
stf_0150,劉家豪,sec_fin,15
stf_0151,周曉雯,sec_env,14
stf_0152,林俊傑,sec_short,14
stf_0153,邱柏瑋,sec_deep,18
stf_0154,劉曉雯,sec_brand,8
stf_0155,李秉修,sec_opin,14
stf_0156,許家豪,sec_deep,16
stf_0157,謝郁婷,sec_brand,14
stf_0158,許心怡,sec_shop,12
stf_0159,鄭曉雯,sec_intl,15
stf_0160,洪詩涵,sec_sport,3
stf_0161,謝曉雯,sec_fin,3
stf_0162,曾志豪,sec_brand,10
stf_0163,曾淑芬,sec_life,18
stf_0164,蔡冠宇,sec_deep,4
